object_key,file_name,grade,subject,file_size,file_type
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第10课+秦末农民大起义（同步练习）\第10课 秦末农民大起义（原卷版）.docx,第10课 秦末农民大起义（原卷版）.docx,七年级,历史,1619.14 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第10课+秦末农民大起义（同步练习）\第10课 秦末农民大起义（解析版）.docx,第10课 秦末农民大起义（解析版）.docx,七年级,历史,1629.06 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第11课+西汉建立和“文景之治”（同步练习）\第11课 西汉建立和“文景之治”（原卷版）.docx,第11课 西汉建立和“文景之治”（原卷版）.docx,七年级,历史,456.13 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第11课+西汉建立和“文景之治”（同步练习）\第11课 西汉建立和“文景之治”（解析版）.docx,第11课 西汉建立和“文景之治”（解析版）.docx,七年级,历史,465.06 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第12课+大一统王朝的巩固（同步练习）\第12课 大一统王朝的巩固（原卷版）.docx,第12课 大一统王朝的巩固（原卷版）.docx,七年级,历史,974.28 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第12课+大一统王朝的巩固（同步练习）\第12课 大一统王朝的巩固（解析版）.docx,第12课 大一统王朝的巩固（解析版）.docx,七年级,历史,983.76 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第13课+东汉的兴衰（同步练习）\第13课 东汉的兴衰（原卷版）.docx,第13课 东汉的兴衰（原卷版）.docx,七年级,历史,1310.42 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第13课+东汉的兴衰（同步练习）\第13课 东汉的兴衰（解析版）.docx,第13课 东汉的兴衰（解析版）.docx,七年级,历史,1434.41 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第14课+丝绸之路的开通与经营西域（同步练习）\第14课 丝绸之路的开通与经营西域（原卷版）.docx,第14课 丝绸之路的开通与经营西域（原卷版）.docx,七年级,历史,669.11 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第14课+丝绸之路的开通与经营西域（同步练习）\第14课 丝绸之路的开通与经营西域（解析版）.docx,第14课 丝绸之路的开通与经营西域（解析版）.docx,七年级,历史,677.85 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第15课+秦汉时期的科技与文化（同步练习）\第15课 秦汉时期的科技与文化（原卷版）.docx,第15课 秦汉时期的科技与文化（原卷版）.docx,七年级,历史,2234.52 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第15课+秦汉时期的科技与文化（同步练习）\第15课 秦汉时期的科技与文化（解析版）.docx,第15课 秦汉时期的科技与文化（解析版）.docx,七年级,历史,2146.74 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第16课+三国鼎立（同步练习）\第16课 三国鼎立（原卷版）.docx,第16课 三国鼎立（原卷版）.docx,七年级,历史,948.61 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第16课+三国鼎立（同步练习）\第16课 三国鼎立（解析版）.docx,第16课 三国鼎立（解析版）.docx,七年级,历史,997.87 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第17课+西晋的短暂统一和北方各族的内迁（同步练习）\第17课 西晋的短暂统一和北方各族的内迁（原卷版）.docx,第17课 西晋的短暂统一和北方各族的内迁（原卷版）.docx,七年级,历史,1561.33 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第17课+西晋的短暂统一和北方各族的内迁（同步练习）\第17课 西晋的短暂统一和北方各族的内迁（解析版）.docx,第17课 西晋的短暂统一和北方各族的内迁（解析版）.docx,七年级,历史,1697.38 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第18课+东晋南朝政治和江南地区的开发（同步练习）\第18课 东晋南朝政治和江南地区的开发（原卷版）.docx,第18课 东晋南朝政治和江南地区的开发（原卷版）.docx,七年级,历史,449.77 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第18课+东晋南朝政治和江南地区的开发（同步练习）\第18课 东晋南朝政治和江南地区的开发（解析版）.docx,第18课 东晋南朝政治和江南地区的开发（解析版）.docx,七年级,历史,482.16 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第19课+北朝政治和北方民族大交融（同步练习）\第19课 北朝政治和北方民族大交融（原卷版）.docx,第19课 北朝政治和北方民族大交融（原卷版）.docx,七年级,历史,1720.84 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第19课+北朝政治和北方民族大交融（同步练习）\第19课 北朝政治和北方民族大交融（解析版）.docx,第19课 北朝政治和北方民族大交融（解析版）.docx,七年级,历史,1730.46 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第1课+远古时期的人类活动（同步练习）\第1课 远古时期的人类活动（原卷版）.docx,第1课 远古时期的人类活动（原卷版）.docx,七年级,历史,1921.69 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第1课+远古时期的人类活动（同步练习）\第1课 远古时期的人类活动（解析版）.docx,第1课 远古时期的人类活动（解析版）.docx,七年级,历史,1929.90 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第20课+三国两晋南北朝时期的文化（同步练习）\第20课 三国两晋南北朝时期的文化（原卷版）.docx,第20课 三国两晋南北朝时期的文化（原卷版）.docx,七年级,历史,3572.36 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第20课+三国两晋南北朝时期的文化（同步练习）\第20课 三国两晋南北朝时期的文化（解析版）.docx,第20课 三国两晋南北朝时期的文化（解析版）.docx,七年级,历史,4153.76 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第2课+原始农业与史前社会（同步练习）\第2课 原始农业与史前社会（原卷版）.docx,第2课 原始农业与史前社会（原卷版）.docx,七年级,历史,3236.16 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第2课+原始农业与史前社会（同步练习）\第2课 原始农业与史前社会（解析版）.docx,第2课 原始农业与史前社会（解析版）.docx,七年级,历史,3285.74 KB,docx
试卷\七年级\历史\历史人教版7上试卷\1、同步练习 （20份）\同步练习（2024）\第3课+中华文明的起源（同步练习）\第3课 中华文明的起源（原卷版）.docx,第3课 中华文明的起源（原卷版）.docx,七年级,历史,2079.75 KB,docx
